utc_timestamp,FR_temperature,FR_radiation_direct_horizontal,FR_radiation_diffuse_horizontal
2015-01-05T17:00:00Z,1.474,0,0
2015-01-05T18:00:00Z,1.065,0,0
2015-01-05T19:00:00Z,0.775,0,0
2015-01-05T20:00:00Z,0.564,0,0
2015-01-05T21:00:00Z,0.356,0,0
2015-01-05T22:00:00Z,0.196,0,0
2015-01-05T23:00:00Z,0.078,0,0
2015-01-06T00:00:00Z,-0.02,0,0
2015-01-06T01:00:00Z,-0.098,0,0
2015-01-06T02:00:00Z,-0.139,0,0
2015-01-06T03:00:00Z,-0.204,0,0
2015-01-06T04:00:00Z,-0.265,0,0
2015-01-06T05:00:00Z,-0.282,0,0
2015-01-06T06:00:00Z,-0.215,8.33849951204E-5,0.00161661500488
2015-01-06T07:00:00Z,-0.083,1.4673470686,7.1730529314
2015-01-06T08:00:00Z,0.793,11.8520881794,53.4084118206
2015-01-06T09:00:00Z,1.982,31.5754987259,105.717201274
2015-01-06T10:00:00Z,3.111,57.9830130313,141.316086969
2015-01-06T11:00:00Z,4.144,74.1585215714,156.491778429
2015-01-06T12:00:00Z,4.926,71.7071420917,153.993657908
2015-01-06T13:00:00Z,5.254,44.9600853439,131.933714656
2015-01-06T14:00:00Z,4.966,20.470767618,89.350032382
2015-01-06T15:00:00Z,3.828,3.55046969111,30.8055303089
2015-01-06T16:00:00Z,2.905,0.0266221319118,0.618977868088
2015-01-06T17:00:00Z,2.867,0,0
2015-01-06T18:00:00Z,2.877,0,0
2015-01-06T19:00:00Z,2.812,0,0
2015-01-06T20:00:00Z,2.668,0,0
2015-01-06T21:00:00Z,2.554,0,0
2015-01-06T22:00:00Z,2.458,0,0
2015-01-06T23:00:00Z,2.252,0,0
2015-01-07T00:00:00Z,1.978,0,0
2015-01-07T01:00:00Z,1.824,0,0
2015-01-07T02:00:00Z,1.776,0,0
2015-01-07T03:00:00Z,1.676,0,0
2015-01-07T04:00:00Z,1.53,0,0
2015-01-07T05:00:00Z,1.273,0,0
2015-01-07T06:00:00Z,1.08,6.31874969734E-5,0.00163681250303
2015-01-07T07:00:00Z,1.112,0.434785188644,5.62171481136
2015-01-07T08:00:00Z,1.819,6.07945511146,48.6830448885
2015-01-07T09:00:00Z,2.788,21.0433675184,102.576732482
2015-01-07T10:00:00Z,3.873,49.2846331863,141.981966814
2015-01-07T11:00:00Z,4.97,88.6233025976,155.243597402
2015-01-07T12:00:00Z,5.721,93.2548393371,149.932360663
2015-01-07T13:00:00Z,5.999,66.7840486975,131.516351303
2015-01-07T14:00:00Z,5.633,26.8695839843,91.7504160157
2015-01-07T15:00:00Z,4.382,5.10981097936,33.2204890206
2015-01-07T16:00:00Z,3.466,0.101441700538,1.01845829946
2015-01-07T17:00:00Z,3.408,0,0
2015-01-07T18:00:00Z,3.433,0,0
2015-01-07T19:00:00Z,3.508,0,0
2015-01-07T20:00:00Z,3.588,0,0
2015-01-07T21:00:00Z,3.696,0,0
2015-01-07T22:00:00Z,3.799,0,0
2015-01-07T23:00:00Z,3.869,0,0
2015-01-08T00:00:00Z,3.926,0,0
2015-01-08T01:00:00Z,4,0,0
2015-01-08T02:00:00Z,4.109,0,0
2015-01-08T03:00:00Z,4.202,0,0
2015-01-08T04:00:00Z,4.258,0,0
2015-01-08T05:00:00Z,4.344,0,0
2015-01-08T06:00:00Z,4.481,5.11408949649E-5,0.00164885910504
2015-01-08T07:00:00Z,4.697,0.652864811821,6.83383518818
2015-01-08T08:00:00Z,5.562,4.91532284198,48.606277158
2015-01-08T09:00:00Z,6.596,11.3736440872,96.3813559128
2015-01-08T10:00:00Z,7.619,18.5139601574,133.118839843
2015-01-08T11:00:00Z,8.475,22.2780889218,150.264711078
2015-01-08T12:00:00Z,9.028,22.9649962073,149.062903793
2015-01-08T13:00:00Z,9.267,17.1589055098,124.33129449
2015-01-08T14:00:00Z,9.041,9.67604905091,83.3213509491
2015-01-08T15:00:00Z,8.071,2.47115000615,30.1856499938
2015-01-08T16:00:00Z,6.903,0.0461225937509,0.890477406249
2015-01-08T17:00:00Z,6.452,0,0
2015-01-08T18:00:00Z,6.156,0,0
2015-01-08T19:00:00Z,5.892,0,0
2015-01-08T20:00:00Z,5.686,0,0
2015-01-08T21:00:00Z,5.52,0,0
2015-01-08T22:00:00Z,5.413,0,0
2015-01-08T23:00:00Z,5.321,0,0
2015-01-09T00:00:00Z,5.358,0,0
2015-01-09T01:00:00Z,5.394,0,0
2015-01-09T02:00:00Z,5.427,0,0
2015-01-09T03:00:00Z,5.552,0,0
2015-01-09T04:00:00Z,5.691,0,0
2015-01-09T05:00:00Z,5.956,0,0
2015-01-09T06:00:00Z,6.267,0.000216036016536,0.00318396398346
2015-01-09T07:00:00Z,6.702,0.555092712237,6.56680728776
2015-01-09T08:00:00Z,7.771,3.90029893585,45.6538010642
2015-01-09T09:00:00Z,8.978,13.1570933797,98.7195066203
2015-01-09T10:00:00Z,10.157,32.3588717048,144.251828295
2015-01-09T11:00:00Z,11.127,44.3009064467,164.290493553
2015-01-09T12:00:00Z,11.613,29.2573975032,152.973102497
2015-01-09T13:00:00Z,11.685,18.4380300834,125.226569917
2015-01-09T14:00:00Z,11.485,9.58857371411,82.6762262859
2015-01-09T15:00:00Z,10.996,2.79470336834,31.2184966317
2015-01-09T16:00:00Z,10.486,0.0730829929665,1.07541700703
2015-01-09T17:00:00Z,10.435,0,0
2015-01-09T18:00:00Z,10.52,0,0
2015-01-09T19:00:00Z,10.523,0,0
2015-01-09T20:00:00Z,10.494,0,0
2015-01-09T21:00:00Z,10.515,0,0
2015-01-09T22:00:00Z,10.524,0,0
2015-01-09T23:00:00Z,10.513,0,0
2015-01-10T00:00:00Z,10.501,0,0
2015-01-10T01:00:00Z,10.49,0,0
2015-01-10T02:00:00Z,10.433,0,0
2015-01-10T03:00:00Z,10.3,0,0
2015-01-10T04:00:00Z,10.144,0,0
2015-01-10T05:00:00Z,10.021,0,0
2015-01-10T06:00:00Z,9.92,0.000116359812312,0.00288364018769
